video_frame,video_seconds,source_row,source_snapshot_index,offset_M,camera_azimuth_A_deg,chapter
0,0.0,0,0,0.0,-58.0,evolution
1,0.05,3,3,0.013459358577165403,-58.0,evolution
2,0.1,7,7,0.0304963557919109,-58.0,evolution
3,0.15,12,12,0.048649350196228625,-58.0,evolution
4,0.2,17,17,0.06564586358945235,-58.0,evolution
5,0.25,22,22,0.08277413406131018,-58.0,evolution
6,0.3,26,26,0.09668310644019584,-58.0,evolution
7,0.35,31,31,0.11378554443263056,-58.0,evolution
8,0.4,36,36,0.13088393460566294,-58.0,evolution
9,0.45,41,41,0.14798496600997169,-58.0,evolution
10,0.5,46,46,0.16509149910234555,-58.0,evolution
11,0.55,50,50,0.1788678422990415,-58.0,evolution
12,0.6,55,55,0.19600468861790432,-58.0,evolution
13,0.65,60,60,0.21314040686365843,-58.0,evolution
14,0.7,65,65,0.23025447556710787,-58.0,evolution
15,0.75,70,70,0.24734767622794607,-58.0,evolution
16,0.8,75,75,0.26471733940888953,-58.0,evolution
17,0.85,79,79,0.27809383382327724,-58.0,evolution
18,0.9,84,84,0.29475096432497594,-58.0,evolution
19,0.95,90,90,0.31445969630203763,-58.0,evolution
20,1.0,94,94,0.33068229563468776,-58.0,evolution
21,1.05,98,98,0.34619751533773524,-58.0,evolution
22,1.1,102,102,0.3614637978007522,-58.0,evolution
23,1.15,107,107,0.38059872652411286,-58.0,evolution
24,1.2,111,111,0.3959208610135647,-58.0,evolution
25,1.25,115,115,0.4112844779392617,-58.0,evolution
26,1.3,121,121,0.4304564218687119,-58.0,evolution
27,1.35,126,126,0.44593893869887324,-58.0,evolution
28,1.4,131,131,0.4614214555290346,-58.0,evolution
29,1.45,136,136,0.4769039723591959,-58.0,evolution
30,1.5,142,142,0.4962086243581325,-58.0,evolution
31,1.55,147,147,0.5116212496736807,-58.0,evolution
32,1.6,152,152,0.5270525985711174,-58.0,evolution
33,1.65,158,158,0.5455947488344464,-58.0,evolution
34,1.7,163,163,0.5606731730294996,-58.0,evolution
35,1.75,169,169,0.5783607492480769,-58.0,evolution
36,1.8,175,175,0.5960503844398772,-58.0,evolution
37,1.85,180,180,0.6109095079900726,-58.0,evolution
38,1.9,186,186,0.628354172093168,-58.0,evolution
39,1.95,191,191,0.6432236203309003,-58.0,evolution
40,2.0,197,197,0.6615300930257035,-58.0,evolution
41,2.05,202,202,0.6763710918899051,-58.0,evolution
42,2.1,208,208,0.6937912700796005,-58.0,evolution
43,2.15,214,214,0.7107288085958317,-58.0,evolution
44,2.2,220,220,0.7273671803800426,-58.0,evolution
45,2.25,226,226,0.7438000907486639,-58.0,evolution
46,2.3,232,232,0.7610721066794213,-58.0,evolution
47,2.35,238,238,0.7778195073738061,-58.0,evolution
48,2.4,244,244,0.7945478701481079,-58.0,evolution
49,2.45,250,250,0.8112495570353531,-58.0,evolution
50,2.5,256,256,0.8277699615978236,-58.0,evolution
51,2.55,261,261,0.8417649400730625,-58.0,evolution
52,2.6,269,269,0.8606093421722107,-58.0,evolution
53,2.65,276,276,0.8774631322789901,-58.0,evolution
54,2.7,283,283,0.8935476237279545,-58.0,evolution
55,2.75,290,290,0.9098577963682146,-58.0,evolution
56,2.8,297,297,0.9257348109222221,-58.0,evolution
57,2.85,304,304,0.9426997009309162,-58.0,evolution
58,2.9,311,311,0.9589738496329119,-58.0,evolution
59,2.95,318,318,0.9755932769512583,-58.0,evolution
60,3.0,325,325,0.9916608662915678,-58.0,evolution
61,3.05,333,333,1.009424815175862,-58.0,evolution
62,3.1,340,340,1.0255075523923551,-58.0,evolution
63,3.15,348,348,1.043175693404919,-58.0,evolution
64,3.2,356,356,1.059852330583908,-58.0,evolution
65,3.25,363,363,1.0742468647949863,-58.0,evolution
66,3.3,371,371,1.0914237166207386,-58.0,evolution
67,3.35,379,379,1.108307179678377,-58.0,evolution
68,3.4,387,387,1.124257665238929,-58.0,evolution
69,3.45,395,395,1.1406210376790114,-58.0,evolution
70,3.5,404,404,1.1581136571448951,-58.0,evolution
71,3.55,412,412,1.1738411674923555,-58.0,evolution
72,3.6,421,421,1.1915653505411683,-58.0,evolution
73,3.65,429,429,1.206718729520162,-58.0,evolution
74,3.7,437,437,1.2235134055199524,-58.0,evolution
75,3.75,445,445,1.2419564481624548,-58.0,evolution
76,3.8,451,451,1.256755650775176,-58.0,evolution
77,3.85,458,458,1.2730147823845073,-58.0,evolution
78,3.9,465,465,1.2889400730182388,-58.0,evolution
79,3.95,473,473,1.3080194564818157,-58.0,evolution
80,4.0,480,480,1.3241777916600768,-58.0,evolution
81,4.05,488,488,1.3399076434884591,-58.0,evolution
82,4.1,497,497,1.3577900155473799,-58.0,evolution
83,4.15,505,505,1.373211642086062,-58.0,evolution
84,4.2,514,514,1.3900994908958637,-58.0,evolution
85,4.25,523,523,1.4063581457494365,-58.0,evolution
86,4.3,533,533,1.423832422808573,-58.0,evolution
87,4.35,541,541,1.4402214418682888,-58.0,evolution
88,4.4,549,549,1.455101610789825,-58.0,evolution
89,4.45,558,558,1.4725401864316154,-58.0,evolution
90,4.5,567,567,1.4894017207234356,-58.0,evolution
91,4.55,576,576,1.5061033727038193,-58.0,evolution
92,4.6,585,585,1.5224725137350106,-58.0,evolution
93,4.65,594,594,1.5386246018701968,-58.0,evolution
94,4.7,603,603,1.5554451295533909,-58.0,evolution
95,4.75,612,612,1.5720616902140137,-58.0,evolution
96,4.8,621,621,1.5886127409703477,-58.0,evolution
97,4.85,630,630,1.6052571617524336,-58.0,evolution
98,4.9,639,639,1.6215795338316639,-58.0,evolution
99,4.95,648,648,1.6384237146862688,-58.0,evolution
100,5.0,657,657,1.6550990855539567,-58.0,evolution
101,5.05,666,666,1.6717534664239793,-58.0,evolution
102,5.1,675,675,1.6883528939611097,-58.0,evolution
103,5.15,684,684,1.704534465793131,-58.0,evolution
104,5.2,693,693,1.72139675444987,-58.0,evolution
105,5.25,702,702,1.7380809712622067,-58.0,evolution
106,5.3,712,712,1.7552951479715375,-58.0,evolution
107,5.35,724,724,1.7709857881827702,-58.0,evolution
108,5.4,737,737,1.787489397754598,-58.0,evolution
109,5.45,750,750,1.8050017740420117,-58.0,evolution
110,5.5,762,762,1.8212810682971394,-58.0,evolution
111,5.55,774,774,1.8367979810363977,-58.0,evolution
112,5.6,787,787,1.853505498814684,-58.0,evolution
113,5.65,801,801,1.8704030836352104,-58.0,evolution
114,5.7,814,814,1.8874414381971292,-58.0,evolution
115,5.75,827,827,1.9037567187197055,-58.0,evolution
116,5.8,840,840,1.9205780641468664,-58.0,evolution
117,5.85,853,853,1.936561249902752,-58.0,evolution
118,5.9,866,866,1.95316729733986,-58.0,evolution
119,5.95,879,879,1.9696750742850782,-58.0,evolution
120,6.0,893,893,1.9871160558163865,-58.0,evolution
121,6.05,905,905,2.0024857192238414,-58.0,evolution
122,6.1,918,918,2.0196204851536095,-58.0,evolution
123,6.15,931,931,2.036337084938168,-58.0,evolution
124,6.2,944,944,2.0530361676446773,-58.0,evolution
125,6.25,957,957,2.069398836275923,-58.0,evolution
126,6.3,970,970,2.0857627165723898,-58.0,evolution
127,6.35,998,998,2.1029413376231787,-58.0,evolution
128,6.4,1026,1026,2.1192386117913884,-58.0,evolution
129,6.45,1055,1055,2.13574881616978,-58.0,evolution
130,6.5,1085,1085,2.1523697376769633,-58.0,evolution
131,6.55,1114,1114,2.1690914649789192,-58.0,evolution
132,6.6,1144,1144,2.1857799011659154,-58.0,evolution
133,6.65,1173,1173,2.20232172822125,-58.0,evolution
134,6.7,1203,1203,2.2188799083137383,-58.0,evolution
135,6.75,1262,1262,2.2355667939928026,-58.0,evolution
136,6.8,1323,1323,2.2521701927425966,-58.0,evolution
137,6.85,1378,1378,2.267255193483379,-58.0,evolution
138,6.9,1378,1378,2.267255193483379,-58.0,evolution
139,6.95,1379,1379,2.297255193483579,-58.0,evolution
140,7.0,1379,1379,2.297255193483579,-58.0,evolution
141,7.05,1380,1380,2.3269549005144654,-58.0,evolution
142,7.1,1380,1380,2.3269549005144654,-58.0,evolution
143,7.15,1381,1381,2.3563575189227777,-58.0,evolution
144,7.2,1381,1381,2.3563575189227777,-58.0,evolution
145,7.25,1382,1382,2.3854662530538917,-58.0,evolution
146,7.3,1383,1383,2.4142838494890384,-58.0,evolution
147,7.35,1383,1383,2.4142838494890384,-58.0,evolution
148,7.4,1384,1384,2.44310144592464,-58.0,evolution
149,7.45,1384,1384,2.44310144592464,-58.0,evolution
150,7.5,1385,1385,2.4719190423602413,-58.0,evolution
151,7.55,1385,1385,2.4719190423602413,-58.0,evolution
152,7.6,1386,1386,2.5007366387958427,-58.0,evolution
153,7.65,1387,1387,2.529554235231444,-58.0,evolution
154,7.7,1387,1387,2.529554235231444,-58.0,evolution
155,7.75,1388,1388,2.5583718316670456,-58.0,evolution
156,7.8,1388,1388,2.5583718316670456,-58.0,evolution
157,7.85,1389,1389,2.587189428102647,-58.0,evolution
158,7.9,1390,1390,2.6160070245382485,-58.0,evolution
159,7.95,1390,1390,2.6160070245382485,-58.0,evolution
160,8.0,1391,1391,2.644824620973395,-58.0,evolution
161,8.05,1391,1391,2.644824620973395,-58.0,evolution
162,8.1,1392,1392,2.6733542840597693,-58.0,evolution
163,8.15,1392,1392,2.6733542840597693,-58.0,evolution
164,8.2,1393,1393,2.7015983026144568,-58.0,evolution
165,8.25,1394,1394,2.729559880983288,-58.0,evolution
166,8.3,1394,1394,2.729559880983288,-58.0,evolution
167,8.35,1395,1395,2.7572417657488586,-58.0,evolution
168,8.4,1395,1395,2.7572417657488586,-58.0,evolution
169,8.45,1396,1396,2.784923650514429,-58.0,evolution
170,8.5,1397,1397,2.812605535280454,-58.0,evolution
171,8.55,1397,1397,2.812605535280454,-58.0,evolution
172,8.6,1398,1398,2.8402874200460246,-58.0,evolution
173,8.65,1398,1398,2.8402874200460246,-58.0,evolution
174,8.7,1399,1399,2.867969304811595,-58.0,evolution
175,8.75,1400,1400,2.8956511895771655,-58.0,evolution
176,8.8,1400,1400,2.8956511895771655,-58.0,evolution
177,8.85,1401,1401,2.923333074342736,-58.0,evolution
178,8.9,1401,1401,2.923333074342736,-58.0,evolution
179,8.95,1402,1402,2.9510149591083064,-58.0,evolution
180,9.0,1403,1403,2.978696843873877,-58.0,evolution
181,9.05,1403,1403,2.978696843873877,-58.0,evolution
182,9.1,1404,1404,3.006378728639447,-58.0,evolution
183,9.15,1404,1404,3.006378728639447,-58.0,evolution
184,9.2,1405,1405,3.0340606134054724,-58.0,evolution
185,9.25,1406,1406,3.061742498171043,-58.0,evolution
186,9.3,1406,1406,3.061742498171043,-58.0,evolution
187,9.35,1407,1407,3.0894243829366133,-58.0,evolution
188,9.4,1407,1407,3.0894243829366133,-58.0,evolution
189,9.45,1408,1408,3.1171062677021837,-58.0,evolution
190,9.5,1409,1409,3.1450650994893294,-58.0,evolution
191,9.55,1409,1409,3.1450650994893294,-58.0,evolution
192,9.6,1410,1410,3.173303624879736,-58.0,evolution
193,9.65,1410,1410,3.173303624879736,-58.0,evolution
194,9.7,1411,1411,3.201824590455999,-58.0,evolution
195,9.75,1411,1411,3.201824590455999,-58.0,evolution
196,9.8,1412,1412,3.2306307427998036,-58.0,evolution
197,9.85,1413,1413,3.2597248284932903,-58.0,evolution
198,9.9,1413,1413,3.2597248284932903,-58.0,evolution
199,9.95,1414,1414,3.289110051881835,-58.0,evolution
200,10.0,1414,1414,3.289110051881835,-58.0,evolution
201,10.05,1415,1415,3.3187891595480323,-58.0,evolution
202,10.1,1415,1415,3.3187891595480323,-58.0,evolution
203,10.15,1416,1416,3.3487648980731137,-58.0,evolution
204,10.2,1416,1416,3.3487648980731137,-58.0,evolution
205,10.25,1417,1417,3.379040471803819,-58.0,evolution
206,10.3,1418,1418,3.409618627321379,-58.0,evolution
207,10.35,1418,1418,3.409618627321379,-58.0,evolution
208,10.4,1419,1419,3.440502568971624,-58.0,evolution
209,10.45,1419,1419,3.440502568971624,-58.0,evolution
210,10.5,1420,1420,3.4716955011003847,-58.0,evolution
211,10.55,1420,1420,3.4716955011003847,-58.0,evolution
212,10.6,1421,1421,3.5032001702898015,-58.0,evolution
213,10.65,1421,1421,3.5032001702898015,-58.0,evolution
214,10.7,1422,1422,3.5350202386493947,-58.0,evolution
215,10.75,1422,1422,3.5350202386493947,-58.0,evolution
216,10.8,1423,1423,3.56715845276085,-58.0,evolution
217,10.85,1423,1423,3.56715845276085,-58.0,evolution
218,10.9,1424,1424,3.5996180169695435,-58.0,evolution
219,10.95,1424,1424,3.5996180169695435,-58.0,evolution
220,11.0,1425,1425,3.6324021356222147,-58.0,evolution
221,11.05,1425,1425,3.6324021356222147,-58.0,evolution
222,11.1,1426,1426,3.66551401306333,-58.0,evolution
223,11.15,1426,1426,3.66551401306333,-58.0,evolution
224,11.2,1427,1427,3.698956853639629,-58.0,evolution
225,11.25,1427,1427,3.698956853639629,-58.0,evolution
226,11.3,1428,1428,3.7327343194597233,-58.0,evolution
227,11.35,1428,1428,3.7327343194597233,-58.0,evolution
228,11.4,1429,1429,3.7668496148698978,-58.0,evolution
229,11.45,1429,1429,3.7668496148698978,-58.0,evolution
230,11.5,1430,1430,3.801305944215983,-58.0,evolution
231,11.55,1430,1430,3.801305944215983,-58.0,evolution
232,11.6,1431,1431,3.8361069696065897,-58.0,evolution
233,11.65,1431,1431,3.8361069696065897,-58.0,evolution
234,11.7,1432,1432,3.8712558953875487,-58.0,evolution
235,11.75,1432,1432,3.8712558953875487,-58.0,evolution
236,11.8,1433,1433,3.906756383668835,-58.0,evolution
237,11.85,1433,1433,3.906756383668835,-58.0,evolution
238,11.9,1433,1433,3.906756383668835,-58.0,evolution
239,11.95,1434,1434,3.9426120965595146,-58.0,evolution
240,12.0,1434,1434,3.9426120965595146,-58.0,evolution
241,12.05,1435,1435,3.978826238405418,-58.0,evolution
242,12.1,1435,1435,3.978826238405418,-58.0,evolution
243,12.15,1436,1436,4.0154024713156105,-58.0,evolution
244,12.2,1436,1436,4.0154024713156105,-58.0,evolution
245,12.25,1437,1437,4.052344457399613,-58.0,evolution
246,12.3,1437,1437,4.052344457399613,-58.0,evolution
247,12.35,1438,1438,4.089655858766491,-58.0,evolution
248,12.4,1438,1438,4.089655858766491,-58.0,evolution
249,12.45,1438,1438,4.089655858766491,-58.0,evolution
250,12.5,1439,1439,4.1273403375262205,-58.0,evolution
251,12.55,1439,1439,4.1273403375262205,-58.0,evolution
252,12.6,1440,1440,4.1654015557878665,-58.0,evolution
253,12.65,1440,1440,4.1654015557878665,-58.0,evolution
254,12.7,1441,1441,4.20384363342464,-58.0,evolution
255,12.75,1441,1441,4.20384363342464,-58.0,evolution
256,12.8,1441,1441,4.20384363342464,-58.0,evolution
257,12.85,1442,1442,4.242670232546061,-58.0,evolution
258,12.9,1442,1442,4.242670232546061,-58.0,evolution
259,12.95,1443,1443,4.281885015260741,-58.0,evolution
260,13.0,1443,1443,4.281885015260741,-58.0,evolution
261,13.05,1444,1444,4.321491643678655,-58.0,evolution
262,13.1,1444,1444,4.321491643678655,-58.0,evolution
263,13.15,1444,1444,4.321491643678655,-58.0,evolution
264,13.2,1445,1445,4.361494695436704,-58.0,evolution
265,13.25,1445,1445,4.361494695436704,-58.0,evolution
266,13.3,1446,1446,4.401897374879809,-58.0,evolution
267,13.35,1446,1446,4.401897374879809,-58.0,evolution
268,13.4,1446,1446,4.401897374879809,-58.0,evolution
269,13.45,1447,1447,4.442704259645325,-58.0,evolution
270,13.5,1447,1447,4.442704259645325,-58.0,evolution
271,13.55,1448,1448,4.483919469606462,-58.0,evolution
272,13.6,1448,1448,4.483919469606462,-58.0,evolution
273,13.65,1448,1448,4.483919469606462,-58.0,evolution
274,13.7,1449,1449,4.525546666871833,-58.0,evolution
275,13.75,1449,1449,4.525546666871833,-58.0,evolution
276,13.8,1450,1450,4.567589971315556,-58.0,evolution
277,13.85,1450,1450,4.567589971315556,-58.0,evolution
278,13.9,1450,1450,4.567589971315556,-58.0,evolution
279,13.95,1451,1451,4.610053960573168,-58.0,evolution
280,14.0,1451,1451,4.610053960573168,-58.0,evolution
281,14.05,1452,1452,4.652942296754645,-58.0,evolution
282,14.1,1452,1452,4.652942296754645,-58.0,evolution
283,14.15,1452,1452,4.652942296754645,-58.0,evolution
284,14.2,1453,1453,4.696259557496887,-58.0,evolution
285,14.25,1453,1453,4.696259557496887,-58.0,evolution
286,14.3,1453,1453,4.696259557496887,-58.0,evolution
287,14.35,1454,1454,4.74001032043634,-58.0,evolution
288,14.4,1454,1454,4.74001032043634,-58.0,evolution
289,14.45,1455,1455,4.784198247682525,-58.0,evolution
290,14.5,1455,1455,4.784198247682525,-58.0,evolution
291,14.55,1455,1455,4.784198247682525,-58.0,evolution
292,14.6,1456,1456,4.828828374635577,-58.0,evolution
293,14.65,1456,1456,4.828828374635577,-58.0,evolution
294,14.7,1456,1456,4.828828374635577,-58.0,evolution
295,14.75,1457,1457,4.873904821168708,-58.0,evolution
296,14.8,1457,1457,4.873904821168708,-58.0,evolution
297,14.85,1457,1457,4.873904821168708,-58.0,evolution
298,14.9,1458,1458,4.919431707155127,-58.0,evolution
299,14.95,1458,1458,4.919431707155127,-58.0,evolution
300,15.0,1459,1459,4.9654140679949705,-58.0,evolution
301,15.05,1459,1459,4.9654140679949705,-58.0,evolution
302,15.1,1459,1459,4.9654140679949705,-58.0,evolution
303,15.15,1460,1460,5.0118560235614495,-58.0,evolution
304,15.2,1460,1460,5.0118560235614495,-58.0,evolution
305,15.25,1460,1460,5.0118560235614495,-58.0,evolution
306,15.3,1461,1461,5.0587626092547,-58.0,evolution
307,15.35,1461,1461,5.0587626092547,-58.0,evolution
308,15.4,1461,1461,5.0587626092547,-58.0,evolution
309,15.45,1462,1462,5.106138402712077,-58.0,evolution
310,15.5,1462,1462,5.106138402712077,-58.0,evolution
311,15.55,1462,1462,5.106138402712077,-58.0,evolution
312,15.6,1463,1463,5.1539879815691165,-58.0,evolution
313,15.65,1463,1463,5.1539879815691165,-58.0,evolution
314,15.7,1463,1463,5.1539879815691165,-58.0,evolution
315,15.75,1464,1464,5.20231592346363,-58.0,evolution
316,15.8,1464,1464,5.20231592346363,-58.0,evolution
317,15.85,1464,1464,5.20231592346363,-58.0,evolution
318,15.9,1465,1465,5.251127263795752,-58.0,evolution
319,15.95,1465,1465,5.251127263795752,-58.0,evolution
320,16.0,1465,1465,5.251127263795752,-58.0,evolution
321,16.05,1466,1466,5.300426580201929,-58.0,evolution
322,16.1,1466,1466,5.300426580201929,-58.0,evolution
323,16.15,1466,1466,5.300426580201929,-58.0,evolution
324,16.2,1467,1467,5.350218908083207,-58.0,evolution
325,16.25,1467,1467,5.350218908083207,-58.0,evolution
326,16.3,1467,1467,5.350218908083207,-58.0,evolution
327,16.35,1468,1468,5.4005092828388115,-58.0,evolution
328,16.4,1468,1468,5.4005092828388115,-58.0,evolution
329,16.45,1468,1468,5.4005092828388115,-58.0,evolution
330,16.5,1469,1469,5.451302282106553,-58.0,evolution
331,16.55,1469,1469,5.451302282106553,-58.0,evolution
332,16.6,1469,1469,5.451302282106553,-58.0,evolution
333,16.65,1470,1470,5.502603399049804,-58.0,evolution
334,16.7,1470,1470,5.502603399049804,-58.0,evolution
335,16.75,1470,1470,5.502603399049804,-58.0,evolution
336,16.8,1471,1471,5.554417211305463,-58.0,evolution
337,16.85,1471,1471,5.554417211305463,-58.0,evolution
338,16.9,1471,1471,5.554417211305463,-58.0,evolution
339,16.95,1472,1472,5.606749212038267,-58.0,evolution
340,17.0,1472,1472,5.606749212038267,-58.0,evolution
341,17.05,1472,1472,5.606749212038267,-58.0,evolution
342,17.1,1473,1473,5.659604894411132,-58.0,evolution
343,17.15,1473,1473,5.659604894411132,-58.0,evolution
344,17.2,1473,1473,5.659604894411132,-58.0,evolution
345,17.25,1474,1474,5.712988836061413,-58.0,evolution
346,17.3,1474,1474,5.712988836061413,-58.0,evolution
347,17.35,1474,1474,5.712988836061413,-58.0,evolution
348,17.4,1474,1474,5.712988836061413,-58.0,evolution
349,17.45,1475,1475,5.766906530153392,-58.0,evolution
350,17.5,1475,1475,5.766906530153392,-58.0,evolution
351,17.55,1475,1475,5.766906530153392,-58.0,evolution
352,17.6,1476,1476,5.821363469850439,-58.0,evolution
353,17.65,1476,1476,5.821363469850439,-58.0,evolution
354,17.7,1476,1476,5.821363469850439,-58.0,evolution
355,17.75,1477,1477,5.876365148317291,-58.0,evolution
356,17.8,1477,1477,5.876365148317291,-58.0,evolution
357,17.85,1477,1477,5.876365148317291,-58.0,evolution
358,17.9,1477,1477,5.876365148317291,-58.0,evolution
359,17.95,1478,1478,5.931916600954082,-58.0,evolution
360,18.0,1478,1478,5.931916600954082,-58.0,evolution
361,18.05,1478,1478,5.931916600954082,-58.0,evolution
362,18.1,1479,1479,5.98802377868833,-58.0,evolution
363,18.15,1479,1479,5.98802377868833,-58.0,evolution
364,18.2,1479,1479,5.98802377868833,-58.0,evolution
365,18.25,1479,1479,5.98802377868833,-58.0,evolution
366,18.3,1480,1480,6.044692174684769,-58.0,evolution
367,18.35,1480,1480,6.044692174684769,-58.0,evolution
368,18.4,1480,1480,6.044692174684769,-58.0,evolution
369,18.45,1481,1481,6.101927282106317,-58.0,evolution
370,18.5,1481,1481,6.101927282106317,-58.0,evolution
371,18.55,1481,1481,6.101927282106317,-58.0,evolution
372,18.6,1482,1482,6.159734594118163,-58.0,evolution
373,18.65,1482,1482,6.159734594118163,-58.0,evolution
374,18.7,1482,1482,6.159734594118163,-58.0,evolution
375,18.75,1482,1482,6.159734594118163,-58.0,evolution
376,18.8,1483,1483,6.218120061647369,-58.0,evolution
377,18.85,1483,1483,6.218120061647369,-58.0,evolution
378,18.9,1483,1483,6.218120061647369,-58.0,evolution
379,18.95,1483,1483,6.218120061647369,-58.0,evolution
380,19.0,1484,1484,6.277089177858215,-58.0,evolution
381,19.05,1484,1484,6.277089177858215,-58.0,evolution
382,19.1,1484,1484,6.277089177858215,-58.0,evolution
383,19.15,1485,1485,6.336647893678673,-58.0,evolution
384,19.2,1485,1485,6.336647893678673,-58.0,evolution
385,19.25,1485,1485,6.336647893678673,-58.0,evolution
386,19.3,1485,1485,6.336647893678673,-58.0,evolution
387,19.35,1486,1486,6.396802617799949,-58.0,evolution
388,19.4,1486,1486,6.396802617799949,-58.0,evolution
389,19.45,1486,1486,6.396802617799949,-58.0,evolution
390,19.5,1487,1487,6.457558843385868,-58.0,evolution
391,19.55,1487,1487,6.457558843385868,-58.0,evolution
392,19.6,1487,1487,6.457558843385868,-58.0,evolution
393,19.65,1487,1487,6.457558843385868,-58.0,evolution
394,19.7,1488,1488,6.518922521364402,-58.0,evolution
395,19.75,1488,1488,6.518922521364402,-58.0,evolution
396,19.8,1488,1488,6.518922521364402,-58.0,evolution
397,19.85,1488,1488,6.518922521364402,-58.0,evolution
398,19.9,1489,1489,6.580899602663067,-58.0,evolution
399,19.95,1489,1489,6.580899602663067,-58.0,evolution
400,20.0,1489,1489,6.580899602663067,-58.0,evolution
401,20.05,1489,1489,6.580899602663067,-58.0,evolution
402,20.1,1490,1490,6.6434964959735225,-58.0,evolution
403,20.15,1490,1490,6.6434964959735225,-58.0,evolution
404,20.2,1490,1490,6.6434964959735225,-58.0,evolution
405,20.25,1491,1491,6.706719609987431,-58.0,evolution
406,20.3,1491,1491,6.706719609987431,-58.0,evolution
407,20.35,1491,1491,6.706719609987431,-58.0,evolution
408,20.4,1491,1491,6.706719609987431,-58.0,evolution
409,20.45,1492,1492,6.770574895631853,-58.0,evolution
410,20.5,1492,1492,6.770574895631853,-58.0,evolution
411,20.55,1492,1492,6.770574895631853,-58.0,evolution
412,20.6,1492,1492,6.770574895631853,-58.0,evolution
413,20.65,1493,1493,6.834481450807743,-58.0,evolution
414,20.7,1493,1493,6.834481450807743,-58.0,evolution
