field,iteration_from,iteration_to,gap_M,contiguous,weighted_mask_Dice,signed_field_correlation,deviation_correlation
repsi2,9536,9568,0.0625,True,0.947063433179549,0.9914683136168132,0.9739698338066329
impsi2,9536,9568,0.0625,True,0.971712835288423,0.998168696835774,0.995328488646526
abs_npsigma,9536,9568,0.0625,True,0.959237745920985,0.9996649641919921,0.9891980683736958
repsi2,9568,9600,0.0625,True,0.9847061029629288,0.99927149169271,0.9932372948676682
impsi2,9568,9600,0.0625,True,0.9827212111079315,0.9990102296259488,0.9973682784746065
abs_npsigma,9568,9600,0.0625,True,0.9714078101559249,0.9997944565956522,0.9989108122133491
repsi2,9600,9632,0.0625,True,0.8378155040301408,0.9989977218157393,0.9953800502481069
impsi2,9600,9632,0.0625,True,0.9022084492363477,0.9992897811116943,0.9979147281581047
abs_npsigma,9600,9632,0.0625,True,0.9790259625704988,0.9998384968192302,0.9987063100085143
repsi2,9632,9664,0.0625,True,0.9586190735031714,0.9981676332306292,0.9932413462915892
impsi2,9632,9664,0.0625,True,0.9780732213597206,0.9994392553189052,0.9982063975763108
abs_npsigma,9632,9664,0.0625,True,0.9824737033187702,0.9998626202607187,0.9896993886810683
repsi2,9664,9696,0.0625,True,0.9711408581095331,0.9994052380202081,0.9979536940564611
impsi2,9664,9696,0.0625,True,0.9537656059535397,0.9995335641064257,0.9984220045866938
abs_npsigma,9664,9696,0.0625,True,0.982951924667375,0.9998781855390821,0.9995214372955998
repsi2,9696,10368,1.3125,False,0.31800652770845816,0.8560408558100044,0.6764647038270284
impsi2,9696,10368,1.3125,False,0.6978754899127343,0.9255118258414947,0.703812644713561
abs_npsigma,9696,10368,1.3125,False,0.8461546127586597,0.9715298978901523,0.9138165183715987
repsi2,10368,10400,0.0625,True,1.0,0.9996572323665848,0.9992526262978441
impsi2,10368,10400,0.0625,True,0.9889177367754047,0.9998925473900049,0.999526421920618
abs_npsigma,10368,10400,0.0625,True,0.9954819346939636,0.9999316982483326,0.9996338433133806
repsi2,10400,10432,0.0625,True,0.9023909710145245,0.9996346308155576,0.9991954264212689
impsi2,10400,10432,0.0625,True,0.9864876530032225,0.999895246826857,0.9995386869643144
abs_npsigma,10400,10432,0.0625,True,0.9969670050320952,0.9999285873371307,0.9997663549185503
repsi2,10432,10464,0.0625,True,0.9037918023814091,0.9995564927282905,0.9990682222984131
impsi2,10432,10464,0.0625,True,0.9720369059252989,0.999900593767908,0.999562638294952
abs_npsigma,10432,10464,0.0625,True,0.9954216767989569,0.9999259799422026,0.9995543075162598
repsi2,10464,10496,0.0625,True,1.0,0.9995123896623078,0.9989933863035257
impsi2,10464,10496,0.0625,True,0.977277500625988,0.9999041184820697,0.9995784632425787
abs_npsigma,10464,10496,0.0625,True,0.9969336472160065,0.9999217575781081,0.999553460113605
repsi2,10496,10528,0.0625,True,1.0,0.9996303397970363,0.9991888307638965
impsi2,10496,10528,0.0625,True,0.981923252158781,0.9999070982907525,0.999591862738868
abs_npsigma,10496,10528,0.0625,True,0.9969100835587679,0.9999169923284148,0.9997077590203489
