field,iteration_from,iteration_to,gap_M,contiguous,Dice_physical_measure
repsi2,9536,9568,0.0625,True,0.8683614768360401
impsi2,9536,9568,0.0625,True,0.9677610076797584
abs_npsigma,9536,9568,0.0625,True,0.9588497192239376
repsi2,9568,9600,0.0625,True,0.9500487846376524
impsi2,9568,9600,0.0625,True,0.9826547614310986
abs_npsigma,9568,9600,0.0625,True,0.9723277095395826
repsi2,9600,9632,0.0625,True,0.9656970305476537
impsi2,9600,9632,0.0625,True,0.970542810791978
abs_npsigma,9600,9632,0.0625,True,0.9781191416674957
repsi2,9632,9664,0.0625,True,0.9529411307541509
impsi2,9632,9664,0.0625,True,0.9298035335944501
abs_npsigma,9632,9664,0.0625,True,0.9818635647408018
repsi2,9664,9696,0.0625,True,0.9196067252043609
impsi2,9664,9696,0.0625,True,0.9783219379442518
abs_npsigma,9664,9696,0.0625,True,0.9852893452184202
repsi2,9696,10368,1.3125,False,0.3664185966953559
impsi2,9696,10368,1.3125,False,0.6477724152241029
abs_npsigma,9696,10368,1.3125,False,0.8386013014867463
repsi2,10368,10400,0.0625,True,0.9746724753480768
impsi2,10368,10400,0.0625,True,0.987088734059754
abs_npsigma,10368,10400,0.0625,True,0.9964587165368421
repsi2,10400,10432,0.0625,True,0.9475818002428746
impsi2,10400,10432,0.0625,True,0.9871686489698954
abs_npsigma,10400,10432,0.0625,True,0.9913649819610474
repsi2,10432,10464,0.0625,True,0.9496952286435014
impsi2,10432,10464,0.0625,True,0.9971102562392468
abs_npsigma,10432,10464,0.0625,True,0.9843117021498122
repsi2,10464,10496,0.0625,True,1.0
impsi2,10464,10496,0.0625,True,0.9757304089772989
abs_npsigma,10464,10496,0.0625,True,0.9947192994529196
repsi2,10496,10528,0.0625,True,0.8382236891030116
impsi2,10496,10528,0.0625,True,0.9923850411811231
abs_npsigma,10496,10528,0.0625,True,0.9967425743954198
