field,iteration_from,iteration_to,gap_M,contiguous,Dice_physical_measure,origin
repsi2,9536,9568,0.0625,True,0.8683614768360401,reused_B3
impsi2,9536,9568,0.0625,True,0.9677610076797584,reused_B3
abs_npsigma,9536,9568,0.0625,True,0.9588497192239376,reused_B3
repsi2,9568,9600,0.0625,True,0.9500487846376524,reused_B3
impsi2,9568,9600,0.0625,True,0.9826547614310986,reused_B3
abs_npsigma,9568,9600,0.0625,True,0.9723277095395826,reused_B3
repsi2,9600,9632,0.0625,True,0.9656970305476537,reused_B3
impsi2,9600,9632,0.0625,True,0.970542810791978,reused_B3
abs_npsigma,9600,9632,0.0625,True,0.9781191416674957,reused_B3
repsi2,9632,9664,0.0625,True,0.9529411307541509,reused_B3
impsi2,9632,9664,0.0625,True,0.9298035335944501,reused_B3
abs_npsigma,9632,9664,0.0625,True,0.9818635647408018,reused_B3
repsi2,9664,9696,0.0625,True,0.9196067252043609,reused_B3
impsi2,9664,9696,0.0625,True,0.9783219379442518,reused_B3
abs_npsigma,9664,9696,0.0625,True,0.9852893452184202,reused_B3
repsi2,9696,9728,0.0625,True,0.9686978143457321,new_B4
impsi2,9696,9728,0.0625,True,0.947255208024599,new_B4
abs_npsigma,9696,9728,0.0625,True,0.9848573528306765,new_B4
repsi2,9728,9760,0.0625,True,0.9013540129327261,new_B4
impsi2,9728,9760,0.0625,True,0.9601958894001912,new_B4
abs_npsigma,9728,9760,0.0625,True,0.9871645275916135,new_B4
repsi2,9760,9792,0.0625,True,1.0,new_B4
impsi2,9760,9792,0.0625,True,0.9781342299107721,new_B4
abs_npsigma,9760,9792,0.0625,True,0.9888885769456908,new_B4
repsi2,9792,9824,0.0625,True,0.8885706573272345,new_B4
impsi2,9792,9824,0.0625,True,0.9587636507282511,new_B4
abs_npsigma,9792,9824,0.0625,True,0.9887849750614336,new_B4
repsi2,9824,9856,0.0625,True,0.9851512809731611,new_B4
impsi2,9824,9856,0.0625,True,0.9791602797707382,new_B4
abs_npsigma,9824,9856,0.0625,True,0.9899354112263629,new_B4
repsi2,9856,9888,0.0625,True,0.9387846181860754,new_B4
impsi2,9856,9888,0.0625,True,0.9859155424798336,new_B4
abs_npsigma,9856,9888,0.0625,True,0.9908620148878715,new_B4
repsi2,9888,9920,0.0625,True,0.9436837023263989,new_B4
impsi2,9888,9920,0.0625,True,0.9857783564585835,new_B4
abs_npsigma,9888,9920,0.0625,True,0.9912975487345026,new_B4
repsi2,9920,9952,0.0625,True,0.9708977102624524,new_B4
impsi2,9920,9952,0.0625,True,0.9887072291158374,new_B4
abs_npsigma,9920,9952,0.0625,True,0.99177822542455,new_B4
repsi2,9952,9984,0.0625,True,0.8698578887193041,new_B4
impsi2,9952,9984,0.0625,True,0.9704792151575415,new_B4
abs_npsigma,9952,9984,0.0625,True,0.993416672232685,new_B4
repsi2,9984,10016,0.0625,True,0.9715993964372979,new_B4
impsi2,9984,10016,0.0625,True,0.9816206129621453,new_B4
abs_npsigma,9984,10016,0.0625,True,0.9930954769950261,new_B4
repsi2,10016,10048,0.0625,True,0.9579727251301542,new_B4
impsi2,10016,10048,0.0625,True,0.9784565203270409,new_B4
abs_npsigma,10016,10048,0.0625,True,0.991882091231349,new_B4
repsi2,10048,10080,0.0625,True,0.944811236402809,new_B4
impsi2,10048,10080,0.0625,True,0.9813052915705931,new_B4
abs_npsigma,10048,10080,0.0625,True,0.9868205855099788,new_B4
repsi2,10080,10112,0.0625,True,0.9175710809835796,new_B4
impsi2,10080,10112,0.0625,True,0.9792200370302246,new_B4
abs_npsigma,10080,10112,0.0625,True,0.9939433231172122,new_B4
repsi2,10112,10144,0.0625,True,0.972900863370951,new_B4
impsi2,10112,10144,0.0625,True,0.9824815971925671,new_B4
abs_npsigma,10112,10144,0.0625,True,0.9943557223405185,new_B4
repsi2,10144,10176,0.0625,True,0.8769509155556489,new_B4
impsi2,10144,10176,0.0625,True,0.9722993886348036,new_B4
abs_npsigma,10144,10176,0.0625,True,0.9938674080988479,new_B4
repsi2,10176,10208,0.0625,True,1.0,new_B4
impsi2,10176,10208,0.0625,True,0.9730232705615601,new_B4
abs_npsigma,10176,10208,0.0625,True,0.9942194317769227,new_B4
repsi2,10208,10240,0.0625,True,0.962712177127403,new_B4
impsi2,10208,10240,0.0625,True,0.9793049197315151,new_B4
abs_npsigma,10208,10240,0.0625,True,0.9957073872320628,new_B4
repsi2,10240,10272,0.0625,True,0.9726392179372461,new_B4
impsi2,10240,10272,0.0625,True,0.9789254332489543,new_B4
abs_npsigma,10240,10272,0.0625,True,0.9938343427598886,new_B4
repsi2,10272,10304,0.0625,True,0.97313361156675,new_B4
impsi2,10272,10304,0.0625,True,0.9919554866583904,new_B4
abs_npsigma,10272,10304,0.0625,True,0.9959027714783718,new_B4
repsi2,10304,10336,0.0625,True,0.9217602757545694,new_B4
impsi2,10304,10336,0.0625,True,0.9753249832477654,new_B4
abs_npsigma,10304,10336,0.0625,True,0.9950365024102579,new_B4
repsi2,10336,10368,0.0625,True,0.9131755968441936,new_B4
impsi2,10336,10368,0.0625,True,0.9899555696242378,new_B4
abs_npsigma,10336,10368,0.0625,True,0.9948064729779951,new_B4
repsi2,10368,10400,0.0625,True,0.9746724753480768,reused_B3
impsi2,10368,10400,0.0625,True,0.987088734059754,reused_B3
abs_npsigma,10368,10400,0.0625,True,0.9964587165368421,reused_B3
repsi2,10400,10432,0.0625,True,0.9475818002428746,reused_B3
impsi2,10400,10432,0.0625,True,0.9871686489698954,reused_B3
abs_npsigma,10400,10432,0.0625,True,0.9913649819610474,reused_B3
repsi2,10432,10464,0.0625,True,0.9496952286435014,reused_B3
impsi2,10432,10464,0.0625,True,0.9971102562392468,reused_B3
abs_npsigma,10432,10464,0.0625,True,0.9843117021498122,reused_B3
repsi2,10464,10496,0.0625,True,1.0,reused_B3
impsi2,10464,10496,0.0625,True,0.9757304089772989,reused_B3
abs_npsigma,10464,10496,0.0625,True,0.9947192994529196,reused_B3
repsi2,10496,10528,0.0625,True,0.8382236891030116,reused_B3
impsi2,10496,10528,0.0625,True,0.9923850411811231,reused_B3
abs_npsigma,10496,10528,0.0625,True,0.9967425743954198,reused_B3
repsi2,10528,10560,0.0625,True,0.9753079900862005,new_B4
impsi2,10528,10560,0.0625,True,0.967443042700136,new_B4
abs_npsigma,10528,10560,0.0625,True,0.9892699160112362,new_B4
repsi2,10560,10592,0.0625,True,0.9744216015399507,new_B4
impsi2,10560,10592,0.0625,True,0.9697680588795314,new_B4
abs_npsigma,10560,10592,0.0625,True,0.9967103176502057,new_B4
repsi2,10592,10624,0.0625,True,0.9134946294825396,new_B4
impsi2,10592,10624,0.0625,True,0.9686255033296206,new_B4
abs_npsigma,10592,10624,0.0625,True,0.9891752689902847,new_B4
repsi2,10624,10656,0.0625,True,1.0,new_B4
impsi2,10624,10656,0.0625,True,0.9527057060296178,new_B4
abs_npsigma,10624,10656,0.0625,True,0.996677352226862,new_B4
repsi2,10656,10688,0.0625,True,0.9515055220150284,new_B4
impsi2,10656,10688,0.0625,True,0.9948947181371827,new_B4
abs_npsigma,10656,10688,0.0625,True,0.9907581924667416,new_B4
repsi2,10688,10720,0.0625,True,0.9053548412928532,new_B4
impsi2,10688,10720,0.0625,True,0.933687007213076,new_B4
abs_npsigma,10688,10720,0.0625,True,0.9924212171366341,new_B4
repsi2,10720,10752,0.0625,True,0.9877903122766105,new_B4
