iteration,t_M,field,L,ell,m,part,coefficient
9536,18.625,repsi2,2,0,0,real,-1.8031143420505722
9536,18.625,repsi2,2,1,0,real,7.126210732621985e-10
9536,18.625,repsi2,2,1,1,cos,3.1017593074899543e-11
9536,18.625,repsi2,2,1,1,sin,9.795051834803253e-09
9536,18.625,repsi2,2,2,0,real,2.577279866784524
9536,18.625,repsi2,2,2,1,cos,3.2203059020541516e-09
9536,18.625,repsi2,2,2,1,sin,9.265946466809048e-09
9536,18.625,repsi2,2,2,2,cos,-2.3605159945705885
9536,18.625,repsi2,2,2,2,sin,-1.4691636348893875
9536,18.625,impsi2,2,0,0,real,-2.3555556100170947e-09
9536,18.625,impsi2,2,1,0,real,0.8534860059799823
9536,18.625,impsi2,2,1,1,cos,1.4034872076192854e-10
9536,18.625,impsi2,2,1,1,sin,3.312634186279405e-09
9536,18.625,impsi2,2,2,0,real,5.339250791984739e-09
9536,18.625,impsi2,2,2,1,cos,1.841223973429176e-09
9536,18.625,impsi2,2,2,1,sin,2.099567026627675e-09
9536,18.625,impsi2,2,2,2,cos,5.954028484767059e-09
9536,18.625,impsi2,2,2,2,sin,2.137713845934293e-09
9536,18.625,abs_npsigma,2,0,0,real,1.2497308765090591
9536,18.625,abs_npsigma,2,1,0,real,7.0206503943737175e-09
9536,18.625,abs_npsigma,2,1,1,cos,-3.496907209414755e-09
9536,18.625,abs_npsigma,2,1,1,sin,4.1067510371140895e-09
9536,18.625,abs_npsigma,2,2,0,real,0.5773274554887247
9536,18.625,abs_npsigma,2,2,1,cos,1.5648884627053253e-11
9536,18.625,abs_npsigma,2,2,1,sin,-1.6886513356326533e-08
9536,18.625,abs_npsigma,2,2,2,cos,-0.2128452113756091
9536,18.625,abs_npsigma,2,2,2,sin,-0.26920952411424376
9536,18.625,repsi2,4,0,0,real,-2.0591125270138493
9536,18.625,repsi2,4,1,0,real,-9.099636599785299e-10
9536,18.625,repsi2,4,1,1,cos,1.0331642463073306e-09
9536,18.625,repsi2,4,1,1,sin,1.4656574389794401e-08
9536,18.625,repsi2,4,2,0,real,2.106494372488853
9536,18.625,repsi2,4,2,1,cos,5.065131051519707e-09
9536,18.625,repsi2,4,2,1,sin,1.3157248675900541e-08
9536,18.625,repsi2,4,2,2,cos,-2.1657721270638315
9536,18.625,repsi2,4,2,2,sin,-1.149408292678465
9536,18.625,repsi2,4,3,0,real,1.0517429488771133e-08
9536,18.625,repsi2,4,3,1,cos,1.1248106028843965e-08
9536,18.625,repsi2,4,3,1,sin,-1.4074479176615314e-08
9536,18.625,repsi2,4,3,2,cos,1.9158485102826886e-08
9536,18.625,repsi2,4,3,2,sin,-2.24767136955502e-09
9536,18.625,repsi2,4,3,3,cos,1.275781665535431e-08
9536,18.625,repsi2,4,3,3,sin,-1.3054797457437605e-08
9536,18.625,repsi2,4,4,0,real,-0.5175164125475238
9536,18.625,repsi2,4,4,1,cos,8.873156507719489e-09
9536,18.625,repsi2,4,4,1,sin,-2.5924734788458654e-08
9536,18.625,repsi2,4,4,2,cos,0.5745527834472856
9536,18.625,repsi2,4,4,2,sin,0.3000001128832978
9536,18.625,repsi2,4,4,3,cos,1.7526232742855603e-08
9536,18.625,repsi2,4,4,3,sin,-2.5278292837236915e-08
9536,18.625,repsi2,4,4,4,cos,-0.00871403926607253
9536,18.625,repsi2,4,4,4,sin,-0.5083357814682874
9536,18.625,impsi2,4,0,0,real,-4.891327462738046e-09
9536,18.625,impsi2,4,1,0,real,0.8012999824748881
9536,18.625,impsi2,4,1,1,cos,-5.448019185598906e-10
9536,18.625,impsi2,4,1,1,sin,8.157856372545257e-09
9536,18.625,impsi2,4,2,0,real,4.438308061942657e-09
9536,18.625,impsi2,4,2,1,cos,8.322839747560378e-10
9536,18.625,impsi2,4,2,1,sin,7.852916435560186e-09
9536,18.625,impsi2,4,2,2,cos,9.413390976074115e-09
9536,18.625,impsi2,4,2,2,sin,5.813899997908063e-09
9536,18.625,impsi2,4,3,0,real,-0.08551929109005194
9536,18.625,impsi2,4,3,1,cos,4.503494822819362e-09
9536,18.625,impsi2,4,3,1,sin,-5.2440504553107e-09
9536,18.625,impsi2,4,3,2,cos,0.09065814876214051
9536,18.625,impsi2,4,3,2,sin,-0.25298653914963143
9536,18.625,impsi2,4,3,3,cos,6.685379095914856e-09
9536,18.625,impsi2,4,3,3,sin,-5.760644503152937e-09
9536,18.625,impsi2,4,4,0,real,-1.0902109785641238e-09
9536,18.625,impsi2,4,4,1,cos,4.457080456403098e-09
9536,18.625,impsi2,4,4,1,sin,-1.2388224054629638e-08
9536,18.625,impsi2,4,4,2,cos,4.156916184113984e-09
9536,18.625,impsi2,4,4,2,sin,-5.891165280131272e-09
9536,18.625,impsi2,4,4,3,cos,9.857366278840589e-09
9536,18.625,impsi2,4,4,3,sin,-1.1073533859738195e-08
9536,18.625,impsi2,4,4,4,cos,-4.0939632923547015e-11
9536,18.625,impsi2,4,4,4,sin,-9.98439327663699e-09
9536,18.625,abs_npsigma,4,0,0,real,1.2373181575881227
9536,18.625,abs_npsigma,4,1,0,real,1.831105733707261e-08
9536,18.625,abs_npsigma,4,1,1,cos,-6.456707871812551e-09
9536,18.625,abs_npsigma,4,1,1,sin,-1.8561812920671809e-09
9536,18.625,abs_npsigma,4,2,0,real,0.5613918622373357
9536,18.625,abs_npsigma,4,2,1,cos,4.6327800993402914e-09
9536,18.625,abs_npsigma,4,2,1,sin,-3.3449871276780893e-08
9536,18.625,abs_npsigma,4,2,2,cos,-0.18556004768124967
9536,18.625,abs_npsigma,4,2,2,sin,-0.2971930436864567
9536,18.625,abs_npsigma,4,3,0,real,1.5290763763576145e-09
9536,18.625,abs_npsigma,4,3,1,cos,1.0984734868923837e-08
