stage,sxs_id,lev,horizon,field,target_offset_M,target_time_M,actual_time_M,time_mismatch_M,n_surface_points,Mch,gradient_q95,gradient_median,gradient_max,active_points,largest_component_points,largest_component_fraction_of_active,shuffle_p,null_component_fraction_median,null_component_fraction_q95,centroid_x,centroid_y,centroid_z,candidate_snapshot
BH-HF1,SXS:BBH:0305,6,C,Rstar,0.0,3685.496267868691,3685.496267868691,0.0,1922,0.8867901968132439,3.0360228484117586,1.4782513570760814,4.1292666196629515,97,63,0.6494845360824743,0.005,0.4329896907216495,0.5154639175257731,0.9504873590169368,-0.3107632223236768,-1.1603633564178399e-07,True
BH-HF1,SXS:BBH:0305,6,C,Estar,0.0,3685.496267868691,3685.496267868691,0.0,1922,0.8867901968132439,3.897478000983749,1.5997771670284424,4.87933736266349,97,36,0.3711340206185567,0.645,0.3917525773195876,0.4958762886597938,0.9366144913713523,-0.3503616625048599,-1.1634110315522086e-07,False
BH-HF1,SXS:BBH:0305,6,C,Bstar,0.0,3685.496267868691,3685.496267868691,0.0,1922,0.8867901968132439,1.9145248422514174,0.5429100745961345,2.5806343890465113,97,37,0.38144329896907214,0.985,0.4845360824742268,0.5360824742268041,-0.09888486348300853,0.9950988814052306,-7.578288943714417e-08,False
BH-HF1,SXS:BBH:0305,6,C,Rstar,2.0,3687.496267868691,3687.49666934541,0.0004014767187072721,1458,0.9262166286621006,4.969650715487369,1.8463078164100377,7.661569646259823,73,73,1.0,0.005,0.3287671232876712,0.4794520547945205,0.5574531032408625,-0.8301408801510228,-0.010590410247828308,True
BH-HF1,SXS:BBH:0305,6,C,Estar,2.0,3687.496267868691,3687.49666934541,0.0004014767187072721,1458,0.9262166286621006,5.126487863216302,1.6886205276188173,7.684758389695041,73,73,1.0,0.005,0.3287671232876712,0.4808219178082191,0.5538892311935064,-0.8325656099341842,-0.006420648159366749,True
BH-HF1,SXS:BBH:0305,6,C,Bstar,2.0,3687.496267868691,3687.49666934541,0.0004014767187072721,1458,0.9262166286621006,1.0891753346872532,0.35745423733277126,2.170366828725081,73,63,0.863013698630137,0.005,0.5068493150684932,0.5753424657534246,-0.6407380763882321,0.7677595440411678,-7.847837338032421e-08,True
BH-HF1,SXS:BBH:0305,6,C,Rstar,5.0,3690.496267868691,3690.5081238922526,0.011856023561449547,2592,0.9425729533149608,4.424580911364796,1.3145324673634435,6.276516322529501,130,94,0.7230769230769231,0.005,0.3384615384615385,0.4238461538461538,0.9799811989276371,-0.19909005436793165,-3.536444202687947e-07,True
BH-HF1,SXS:BBH:0305,6,C,Estar,5.0,3690.496267868691,3690.5081238922526,0.011856023561449547,2592,0.9425729533149608,4.417844868365759,1.289876749354192,6.143478196273978,130,94,0.7230769230769231,0.005,0.36153846153846153,0.4461538461538462,0.9849193209729324,-0.17301425136128035,-3.369327099769178e-07,True
BH-HF1,SXS:BBH:0305,6,C,Bstar,5.0,3690.496267868691,3690.5081238922526,0.011856023561449547,2592,0.9425729533149608,1.1311583700283863,0.34285800291654334,1.714274464128708,130,88,0.676923076923077,0.005,0.4461538461538462,0.4930769230769231,-0.9976713920323509,0.06820405794485958,2.9261887348769677e-07,True
BH-HF1,SXS:BBH:0305,6,C,Rstar,10.0,3695.496267868691,3695.5139893707683,0.017721502077165496,2048,0.9491578545160774,2.896246208198055,1.0672866451515741,3.5193991586955082,103,33,0.32038834951456313,0.965,0.4368932038834951,0.5048543689320388,0.17419200680942112,0.8819814975828365,0.4379107017249561,False
BH-HF1,SXS:BBH:0305,6,C,Estar,10.0,3695.496267868691,3695.5139893707683,0.017721502077165496,2048,0.9491578545160774,2.8873514485721445,1.0632652276358487,3.5211741518785002,103,33,0.32038834951456313,0.965,0.44660194174757284,0.5048543689320388,0.1741913304817004,0.8819813892056595,-0.4379111890325138,False
