snapshot_index,field,reference,matched,centroid_max_abs_diff,gradient_q95_abs_diff,fraction_abs_diff,active_points,largest_component_points
0,Rstar,HF1R,True,1.3234889800848443e-23,4.440892098500626e-16,0.0,97,63
0,Estar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,36
0,Bstar,HF1R,True,2.7755575615628914e-17,2.220446049250313e-16,5.551115123125783e-17,97,37
1,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,63
1,Estar,HF1R,True,5.551115123125783e-17,4.440892098500626e-16,0.0,97,36
1,Bstar,HF1R,True,8.326672684688674e-17,0.0,5.551115123125783e-17,97,37
2,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,63
2,Estar,HF1R,True,2.220446049250313e-16,0.0,0.0,97,36
2,Bstar,HF1R,True,1.1102230246251565e-16,0.0,5.551115123125783e-17,97,37
3,Rstar,HF1R,True,0.0,0.0,0.0,97,63
3,Estar,HF1R,True,8.673617379884035e-17,0.0,0.0,97,36
3,Bstar,HF1R,True,8.326672684688674e-17,0.0,5.551115123125783e-17,97,37
4,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,61
4,Estar,HF1R,True,1.1102230246251565e-16,4.440892098500626e-16,0.0,97,36
4,Bstar,HF1R,True,1.1102230246251565e-16,2.220446049250313e-16,5.551115123125783e-17,97,37
5,Rstar,HF1R,True,5.551115123125783e-17,0.0,0.0,97,61
5,Estar,HF1R,True,9.71445146547012e-17,0.0,0.0,97,36
5,Bstar,HF1R,True,8.326672684688674e-17,0.0,5.551115123125783e-17,97,37
6,Rstar,HF1R,True,0.0,0.0,0.0,97,61
6,Estar,HF1R,True,8.673617379884035e-17,1.3322676295501878e-15,0.0,97,36
6,Bstar,HF1R,True,8.326672684688674e-17,0.0,5.551115123125783e-17,97,37
7,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,61
7,Estar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,51
7,Bstar,HF1R,True,1.1102230246251565e-16,0.0,5.551115123125783e-17,97,37
8,Rstar,HF1R,True,5.551115123125783e-17,0.0,0.0,97,61
8,Estar,HF1R,True,1.1102230246251565e-16,4.440892098500626e-16,0.0,97,51
8,Bstar,HF1R,True,4.163336342344337e-17,0.0,5.551115123125783e-17,97,37
9,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,59
9,Estar,HF1R,True,6.245004513516506e-17,0.0,5.551115123125783e-17,97,37
9,Bstar,HF1R,True,3.3306690738754696e-16,0.0,5.551115123125783e-17,97,37
10,Rstar,HF1R,True,1.1102230246251565e-16,0.0,0.0,97,59
