snapshot_index,offset_M,vertices,triangles,max_angular_edge_deg,min_triangle_doublearea_coordinate,coordinate_center_inertial_x,coordinate_center_inertial_y,closed_manifold
0,0.0,1922,3840,9.414781433528628,7.557052612848735e-06,-0.11065581426652785,-0.092379648353898,True
1,0.005245205736173375,1922,3840,9.410792557936462,7.577015551614166e-06,-0.11028893053566283,-0.09246666968432571,True
2,0.009404270465893205,1922,3840,9.407650056321751,7.592775828262523e-06,-0.1099990464761676,-0.09253508533245022,True
3,0.013459358577165403,1922,3840,9.404603204995746,7.608084734896512e-06,-0.10971727005546472,-0.09260129324222535,True
4,0.017128247820892284,1922,3840,9.40186101245306,7.621886106494754e-06,-0.10946306263766153,-0.09266077736576114,True
5,0.022154276381570526,1922,3840,9.398126453244972,7.640718090284441e-06,-0.10911593353936222,-0.09274162135916364,True
6,0.026390053122668178,1922,3840,9.394998583481085,7.656522882923045e-06,-0.10882436999753778,-0.09280917948936893,True
7,0.0304963557919109,1922,3840,9.391983128667835,7.671787540663625e-06,-0.10854256858757544,-0.0928741734427535,True
8,0.03425649564132982,1922,3840,9.389236231760435,7.685716608884352e-06,-0.10828524958043864,-0.09293325959762921,True
9,0.03855153909444198,1922,3840,9.386115177087762,7.70157069385952e-06,-0.10799216626843267,-0.09300025214214333,True
10,0.04252517013082979,1922,3840,9.383243271542685,7.71618537589138e-06,-0.10772180505982354,-0.09306175961012575,True
11,0.045626020797044475,1922,3840,9.38101246850136,7.72755493439854e-06,-0.10751134943560414,-0.0931094439736603,True
12,0.048649350196228625,1922,3840,9.378846054304725,7.738610912318465e-06,-0.10730659227334796,-0.09315567266182023,True
13,0.051384743462222104,1922,3840,9.376893245492774,7.74858909553623e-06,-0.10712170531380402,-0.09319727531241598,True
14,0.05575567039340967,1922,3840,9.373787031963397,7.764485025510832e-06,-0.10682699266074944,-0.09326331376627364,True
15,0.05922674774092229,1922,3840,9.371423764950396,7.777066384253348e-06,-0.10659357935425012,-0.09331537372041265,True
16,0.06247693298064405,1922,3840,9.369307718247471,7.788813778035686e-06,-0.10637552178862872,-0.09336381622708179,True
17,0.06564586358945235,1922,3840,9.367252570916367,7.800236118828254e-06,-0.1061633712181339,-0.09341076073327365,True
18,0.06851299128311439,1922,3840,9.365399898396022,7.810544755128978e-06,-0.10597181616917875,-0.09345299493027096,True
19,0.0728391623333664,1922,3840,9.36261646008262,7.826052815994794e-06,-0.10568347429385455,-0.09351629027745176,True
20,0.07635506892484045,1922,3840,9.360364920580718,7.83861535829395e-06,-0.10544974648453173,-0.09356735046844153,True
