iteration,t_M,tau_M,field,quantile,median,deviation_cutoff,selected_vertices,coordinate_area_fraction,components,largest_component_fraction,long_axis_region_fraction,transverse_region_fraction,polar_region_fraction,u_rms,v_rms,w_rms
9536,18.625,0.0,repsi2,0.9,-1.1376912195500282,1.8043038098658175,64,0.10126807341786132,2,0.5140959429895503,0.9755656295720048,0.051609052325063326,0.0,0.9080872829892572,0.39614588938238154,0.26887349079393547
9536,18.625,0.0,repsi2,0.95,-1.1376912195500282,2.1803879122103162,32,0.05141424957459969,4,0.47593642191712776,0.9518728438342534,0.04812715616574664,0.0,0.935335098145806,0.33783952745118523,0.17816774720747883
9536,18.625,0.0,repsi2,0.98,-1.1376912195500282,2.4381124270223,13,0.020451816583693046,4,0.4789143775584932,0.879012135264582,0.12098786473541796,0.0,0.913411343704204,0.3719649579148787,0.16666612868126435
9536,18.625,0.0,impsi2,0.9,-6.02353935727944e-15,0.3616422098075207,946,0.10004233112664696,6,0.3141407449677268,0.37248149635356487,0.06160778650812261,0.7460048229608485,0.5069636921926175,0.4014740710847315,0.7757688242706173
9536,18.625,0.0,impsi2,0.95,-6.02353935727944e-15,0.39620397985005973,731,0.050050401143869036,6,0.37481872864868065,0.25358555184970033,0.0,0.7464144481502998,0.4323612076917578,0.3239060831576975,0.8098944612877292
9536,18.625,0.0,impsi2,0.98,-6.02353935727944e-15,0.4236710757719433,498,0.020148632008986415,4,0.4218749574114976,0.15670996394260964,0.0,0.8432900360573903,0.3318711060590478,0.2674698767330271,0.8487649796906744
9536,18.625,0.0,abs_npsigma,0.9,0.20724518817467785,0.30146553660482434,1131,0.10019348311300828,2,0.5004022482090356,0.0,0.0,0.9859224291888373,0.12884135998758714,0.3396505076619047,0.8457013849103394
9536,18.625,0.0,abs_npsigma,0.95,0.20724518817467785,0.3641496337230883,841,0.050040134128170655,2,0.5019377922052405,0.0,0.0,1.0,0.08920982260934587,0.24093024810402616,0.8744496985223035
9536,18.625,0.0,abs_npsigma,0.98,0.20724518817467785,0.4110519509678715,546,0.020025835553372083,2,0.5003244572270087,0.0,0.0,1.0,0.05534455236517807,0.16477852648983082,0.8899612633021596
9568,18.6875,0.0625,repsi2,0.9,-1.077330800683346,1.6932338233893824,66,0.10148556838970045,2,0.5000039640933753,1.0,0.02642683968555914,0.0,0.9188267026377148,0.3653440773447734,0.2758981606511211
9568,18.6875,0.0625,repsi2,0.95,-1.077330800683346,2.068865467040008,32,0.05019354435650125,2,0.5000000000000006,1.0,0.0,0.0,0.947439204967514,0.30345439114200645,0.1724640882939675
9568,18.6875,0.0625,repsi2,0.98,-1.077330800683346,2.2864896440354174,13,0.02045780093605149,2,0.537147446660088,1.0,0.0,0.0,0.9478430801423599,0.2566726365599614,0.17010725363249976
9568,18.6875,0.0625,impsi2,0.9,5.5890436653564885e-15,0.3653867687465426,922,0.1000923104702019,6,0.3227578229964408,0.35593746108631424,0.0586167934942656,0.7571393218195264,0.49501151292887413,0.40507451740279476,0.7937637153498444
9568,18.6875,0.0625,impsi2,0.95,5.5890436653564885e-15,0.3949242525994333,709,0.05006856174254912,6,0.3791600469008809,0.24274396435078585,0.0,0.7572560356492142,0.42247960250210576,0.32424298723545136,0.8333632079367643
9568,18.6875,0.0625,impsi2,0.98,5.5890436653564885e-15,0.418053529279973,521,0.020002708847614306,2,0.5011165582211585,0.0,0.0,1.0,0.047951870171937486,0.18306394835328935,0.9125403483897423
9568,18.6875,0.0625,abs_npsigma,0.9,0.20998482926075193,0.2717051895246583,1096,0.10002120527454342,2,0.5005957815527491,0.0,0.0,1.0,0.1300429317067162,0.3338623013241203,0.8745871088914411
9568,18.6875,0.0625,abs_npsigma,0.95,0.20998482926075193,0.3320619258734465,809,0.050109334760257015,2,0.5009421574489517,0.0,0.0,1.0,0.09221340525506536,0.23679175510888537,0.903380704229608
9568,18.6875,0.0625,abs_npsigma,0.98,0.20998482926075193,0.36875683090151157,527,0.020065632789845564,2,0.5022757156025794,0.0,0.0,1.0,0.05715984587410288,0.15651621456607018,0.9190800165635337
9600,18.75,0.125,repsi2,0.9,-1.0025019886588842,1.642647363683376,67,0.10068433895470484,2,0.5076594317335296,1.0,0.026257811351979767,0.0,0.923657772403326,0.34992875312088134,0.27445251518536773
9600,18.75,0.125,repsi2,0.95,-1.0025019886588842,1.994293976057798,33,0.050534570070631474,2,0.5150540780287333,1.0,0.0,0.0,0.9511621699548366,0.2833209776162689,0.18199327814358127
9600,18.75,0.125,repsi2,0.98,-1.0025019886588842,2.3248421604399256,13,0.020108207352759845,2,0.5378845957419159,1.0,0.0,0.0,0.9668685020556009,0.17875919565850454,0.1563783453685406
9600,18.75,0.125,impsi2,0.9,-5.730841057575703e-15,0.36297065615911867,938,0.1001597966611309,6,0.3567084551152906,0.2873883693353955,0.0,0.8217433703398738,0.44995778796384445,0.38618116437822303,0.8237077701883919
9600,18.75,0.125,impsi2,0.95,-5.730841057575703e-15,0.3956894547658536,694,0.050125816420828216,6,0.38608245894898935,0.23466168895738376,0.0,0.7653383110426161,0.4131109772727268,0.3283733637947053,0.8497328441273949
9600,18.75,0.125,impsi2,0.98,-5.730841057575703e-15,0.41741157605758494,504,0.020034770195290444,2,0.500246893395592,0.0,0.0,1.0,0.04856190163697037,0.18548061359854734,0.9316649798809764
9600,18.75,0.125,abs_npsigma,0.9,0.2048959169731339,0.2566289659320874,1072,0.10019296773231169,2,0.5005269327295395,0.0,0.0,1.0,0.1336841984247122,0.32555100196467324,0.8970123121955262
