iteration,t_M,tau_M,field,B2_B3_Dice_physical_measure,B2_B3_Dice_coordinate_measure,B2_mask_physical_area_fraction,B3_fejer_midpoint_mask_Dice_physical,B3_fejer_matched_support_mask_Dice_physical
9536,18.625,0.0,repsi2,0.9367771139753731,0.9355965162379473,0.058236985754306046,1.0,1.0
9536,18.625,0.0,impsi2,0.961017983879934,0.9591700040531653,0.04631881236681339,0.9984251765035729,0.9984251765035729
9536,18.625,0.0,abs_npsigma,0.935088443086515,0.9354074811953954,0.04393522821088095,1.0,0.996697131193733
9568,18.6875,0.0625,repsi2,0.9354016953079862,0.9352613069656314,0.05734313168664176,1.0,1.0
9568,18.6875,0.0625,impsi2,0.960894859020867,0.9589265165819537,0.046297860794617604,0.9991589876896311,0.9983165595851494
9568,18.6875,0.0625,abs_npsigma,0.9357119973191387,0.9361701963629979,0.043973321097269674,1.0,0.9962795757126071
9600,18.75,0.125,repsi2,0.9341548918221834,0.9344073034078758,0.05807964756909327,1.0,1.0
9600,18.75,0.125,impsi2,0.9608982851678467,0.959020504776153,0.04630936090778716,0.9989740408203462,0.9989740408203462
9600,18.75,0.125,abs_npsigma,0.935079644931676,0.9354228762537347,0.04390622016218338,0.9989232136007374,0.9967626689741755
9632,18.8125,0.1875,repsi2,0.9253666261407303,0.9238475641183178,0.05813193124412653,1.0,0.9837809729169384
9632,18.8125,0.1875,impsi2,0.9431484672385398,0.9496540963170209,0.04512854781679373,1.0,1.0
9632,18.8125,0.1875,abs_npsigma,0.9361877207812833,0.9365023530233498,0.04400190361735139,0.9988960929366923,0.9977897459583364
9664,18.875,0.25,repsi2,0.9272230475682655,0.9257722117182131,0.05891279851056568,1.0,1.0
9664,18.875,0.25,impsi2,0.948576685202726,0.9475081687968574,0.04517328835213488,0.9985591528807295,0.9985591528807295
9664,18.875,0.25,abs_npsigma,0.9370070117787562,0.9372064040169183,0.04408471746526631,0.9988717418496288,0.9972568324298611
9696,18.9375,0.3125,repsi2,0.9399321965310622,0.9394963406242562,0.0581598701259312,1.0,1.0
9696,18.9375,0.3125,impsi2,0.9468754408834457,0.9520779885719317,0.04500477408651668,0.9989830949485732,0.9989830949485732
9696,18.9375,0.3125,abs_npsigma,0.9348374050409611,0.9351293860116301,0.04399134401422807,0.9984334065199022,0.9968618969079605
10368,20.25,1.625,repsi2,0.928281177320989,0.9275817992354375,0.0591863920616997,1.0,1.0
10368,20.25,1.625,impsi2,0.9433260554498433,0.9436638670260878,0.04471513396408795,0.9984582075534899,0.9984582075534899
10368,20.25,1.625,abs_npsigma,0.9445223951749648,0.9446354213609164,0.04477252124441185,0.9982286448187518,1.0
10400,20.3125,1.6875,repsi2,0.9282978978136985,0.9276216745419645,0.05900803411317373,1.0,1.0
10400,20.3125,1.6875,impsi2,0.9462181215630264,0.9465401879993326,0.04495394101910985,0.9978579725654111,1.0
10400,20.3125,1.6875,abs_npsigma,0.9436033921272848,0.9437111409754412,0.04476873337151912,0.9982892066795067,1.0
10432,20.375,1.75,repsi2,0.9199690520281895,0.9186043599284741,0.059627333992286105,1.0,1.0
10432,20.375,1.75,impsi2,0.9465461365027013,0.946901530183595,0.04496003521221539,0.9985556169098517,1.0
10432,20.375,1.75,abs_npsigma,0.9456808099838163,0.9457744848454808,0.04488470070243228,0.9982131232998547,1.0
10464,20.4375,1.8125,repsi2,0.912328213710688,0.9100216089430728,0.05995275868710284,1.0,1.0
10464,20.4375,1.8125,impsi2,0.9452690772483794,0.9454966197930714,0.044932015395758175,0.9979634614700509,1.0
10464,20.4375,1.8125,abs_npsigma,0.9439482956069748,0.9440016620438246,0.04484866700315239,0.9964801225291142,0.9982431532072799
10496,20.5,1.875,repsi2,0.9118776318238555,0.909668092753397,0.059841701924383185,1.0,0.9876954644070516
10496,20.5,1.875,impsi2,0.9455041670822522,0.9457786769067423,0.04494915415050768,0.9984020087983067,0.9984020087983067
10496,20.5,1.875,abs_npsigma,0.9461851748535055,0.9462163043017947,0.04493628138825771,0.9983718761024134,1.0
10528,20.5625,1.9375,repsi2,0.9178084358551264,0.9174745811655703,0.059708067955114796,1.0,1.0
10528,20.5625,1.9375,impsi2,0.9462197155043606,0.9465530096087685,0.04494482851414548,0.99838625245146,1.0
10528,20.5625,1.9375,abs_npsigma,0.9463635103925998,0.9464017148389934,0.04501016870843527,0.998365360327467,1.0
