# 0D ASCII output created by CarpetIOASCII
# created on DESKTOP-GDJ2LUD.localdomain by alex on Sep 16 2026 at 10:58:27+0000
# parameter filename: "/mnt/c/Users/Admin/qc0-horizon-early-geometry-t22.par"
# Build ID: build-sim-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.01-07.44.19-166606
# Simulation ID: run-qc0-horizon-early-geometry-t22-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.16-10.57.31-1065
# Run ID: run-qc0-horizon-early-geometry-t22-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.16-10.57.31-1065
#
# QUASILOCALMEASURES::QLM_GRID_INT (quasilocalmeasures-qlm_grid_int)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_nghoststheta[0] 14:qlm_nghoststheta[1] 15:qlm_nghoststheta[2] 16:qlm_nghoststheta[3] 17:qlm_nghoststheta[4] 18:qlm_nghoststheta[5] 19:qlm_nghostsphi[0] 20:qlm_nghostsphi[1] 21:qlm_nghostsphi[2] 22:qlm_nghostsphi[3] 23:qlm_nghostsphi[4] 24:qlm_nghostsphi[5] 25:qlm_ntheta[0] 26:qlm_ntheta[1] 27:qlm_ntheta[2] 28:qlm_ntheta[3] 29:qlm_ntheta[4] 30:qlm_ntheta[5] 31:qlm_nphi[0] 32:qlm_nphi[1] 33:qlm_nphi[2] 34:qlm_nphi[3] 35:qlm_nphi[4] 36:qlm_nphi[5]
0	0	0 0 0	0 0 0	0	0 0 0	2 2 2 2 2 2 2 2 2 2 2 2 39 39 39 39 39 39 76 76 76 76 76 76

# iteration 32   time 0.0625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_nghoststheta[0] 14:qlm_nghoststheta[1] 15:qlm_nghoststheta[2] 16:qlm_nghoststheta[3] 17:qlm_nghoststheta[4] 18:qlm_nghoststheta[5] 19:qlm_nghostsphi[0] 20:qlm_nghostsphi[1] 21:qlm_nghostsphi[2] 22:qlm_nghostsphi[3] 23:qlm_nghostsphi[4] 24:qlm_nghostsphi[5] 25:qlm_ntheta[0] 26:qlm_ntheta[1] 27:qlm_ntheta[2] 28:qlm_ntheta[3] 29:qlm_ntheta[4] 30:qlm_ntheta[5] 31:qlm_nphi[0] 32:qlm_nphi[1] 33:qlm_nphi[2] 34:qlm_nphi[3] 35:qlm_nphi[4] 36:qlm_nphi[5]
32	0	0 0 0	0 0 0	0.0625	0 0 0	2 2 2 2 2 2 2 2 2 2 2 2 39 39 39 39 39 39 76 76 76 76 76 76

# iteration 64   time 0.125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
