# 0D ASCII output created by CarpetIOASCII
# created on DESKTOP-GDJ2LUD.localdomain by alex on Sep 16 2026 at 10:58:27+0000
# parameter filename: "/mnt/c/Users/Admin/qc0-horizon-early-geometry-t22.par"
# Build ID: build-sim-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.01-07.44.19-166606
# Simulation ID: run-qc0-horizon-early-geometry-t22-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.16-10.57.31-1065
# Run ID: run-qc0-horizon-early-geometry-t22-DESKTOP-GDJ2LUD.localdomain-alex-2026.09.16-10.57.31-1065
#
# QUASILOCALMEASURES::QLM_GRID_REAL (quasilocalmeasures-qlm_grid_real)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_origin_x[0] 14:qlm_origin_x[1] 15:qlm_origin_x[2] 16:qlm_origin_x[3] 17:qlm_origin_x[4] 18:qlm_origin_x[5] 19:qlm_origin_y[0] 20:qlm_origin_y[1] 21:qlm_origin_y[2] 22:qlm_origin_y[3] 23:qlm_origin_y[4] 24:qlm_origin_y[5] 25:qlm_origin_z[0] 26:qlm_origin_z[1] 27:qlm_origin_z[2] 28:qlm_origin_z[3] 29:qlm_origin_z[4] 30:qlm_origin_z[5] 31:qlm_origin_theta[0] 32:qlm_origin_theta[1] 33:qlm_origin_theta[2] 34:qlm_origin_theta[3] 35:qlm_origin_theta[4] 36:qlm_origin_theta[5] 37:qlm_origin_phi[0] 38:qlm_origin_phi[1] 39:qlm_origin_phi[2] 40:qlm_origin_phi[3] 41:qlm_origin_phi[4] 42:qlm_origin_phi[5] 43:qlm_delta_theta[0] 44:qlm_delta_theta[1] 45:qlm_delta_theta[2] 46:qlm_delta_theta[3] 47:qlm_delta_theta[4] 48:qlm_delta_theta[5] 49:qlm_delta_phi[0] 50:qlm_delta_phi[1] 51:qlm_delta_phi[2] 52:qlm_delta_phi[3] 53:qlm_delta_phi[4] 54:qlm_delta_phi[5]
0	0	0 0 0	0 0 0	0	0 0 0	1.168642873 -1.168642873 -nan 0 1.168642873 -nan 0 0 -nan 0 0 -nan 0 0 -nan 0 0 -nan -0.134639685153848 -0.134639685153848 -nan -0.134639685153848 -0.134639685153848 -nan -0.174532925199433 -0.174532925199433 -nan -0.174532925199433 -0.174532925199433 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0872664625997165 0.0872664625997165 -nan 0.0872664625997165 0.0872664625997165 -nan

# iteration 32   time 0.0625
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_origin_x[0] 14:qlm_origin_x[1] 15:qlm_origin_x[2] 16:qlm_origin_x[3] 17:qlm_origin_x[4] 18:qlm_origin_x[5] 19:qlm_origin_y[0] 20:qlm_origin_y[1] 21:qlm_origin_y[2] 22:qlm_origin_y[3] 23:qlm_origin_y[4] 24:qlm_origin_y[5] 25:qlm_origin_z[0] 26:qlm_origin_z[1] 27:qlm_origin_z[2] 28:qlm_origin_z[3] 29:qlm_origin_z[4] 30:qlm_origin_z[5] 31:qlm_origin_theta[0] 32:qlm_origin_theta[1] 33:qlm_origin_theta[2] 34:qlm_origin_theta[3] 35:qlm_origin_theta[4] 36:qlm_origin_theta[5] 37:qlm_origin_phi[0] 38:qlm_origin_phi[1] 39:qlm_origin_phi[2] 40:qlm_origin_phi[3] 41:qlm_origin_phi[4] 42:qlm_origin_phi[5] 43:qlm_delta_theta[0] 44:qlm_delta_theta[1] 45:qlm_delta_theta[2] 46:qlm_delta_theta[3] 47:qlm_delta_theta[4] 48:qlm_delta_theta[5] 49:qlm_delta_phi[0] 50:qlm_delta_phi[1] 51:qlm_delta_phi[2] 52:qlm_delta_phi[3] 53:qlm_delta_phi[4] 54:qlm_delta_phi[5]
32	0	0 0 0	0 0 0	0.0625	0 0 0	1.16813327569556 -1.16813327569556 -nan 1.23078221124548e-09 1.16813327569556 -nan -0.00412194522468318 0.00412194522468325 -nan 4.14579295393412e-09 -0.00412194522468318 -nan 3.72109132399649e-17 -4.96145509866199e-17 -nan -3.67466514149594e-09 3.72109132399649e-17 -nan -0.134639685153848 -0.134639685153848 -nan -0.134639685153848 -0.134639685153848 -nan -0.174532925199433 -0.174532925199433 -nan -0.174532925199433 -0.174532925199433 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0872664625997165 0.0872664625997165 -nan 0.0872664625997165 0.0872664625997165 -nan

# iteration 64   time 0.125
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:qlm_origin_x[0] 14:qlm_origin_x[1] 15:qlm_origin_x[2] 16:qlm_origin_x[3] 17:qlm_origin_x[4] 18:qlm_origin_x[5] 19:qlm_origin_y[0] 20:qlm_origin_y[1] 21:qlm_origin_y[2] 22:qlm_origin_y[3] 23:qlm_origin_y[4] 24:qlm_origin_y[5] 25:qlm_origin_z[0] 26:qlm_origin_z[1] 27:qlm_origin_z[2] 28:qlm_origin_z[3] 29:qlm_origin_z[4] 30:qlm_origin_z[5] 31:qlm_origin_theta[0] 32:qlm_origin_theta[1] 33:qlm_origin_theta[2] 34:qlm_origin_theta[3] 35:qlm_origin_theta[4] 36:qlm_origin_theta[5] 37:qlm_origin_phi[0] 38:qlm_origin_phi[1] 39:qlm_origin_phi[2] 40:qlm_origin_phi[3] 41:qlm_origin_phi[4] 42:qlm_origin_phi[5] 43:qlm_delta_theta[0] 44:qlm_delta_theta[1] 45:qlm_delta_theta[2] 46:qlm_delta_theta[3] 47:qlm_delta_theta[4] 48:qlm_delta_theta[5] 49:qlm_delta_phi[0] 50:qlm_delta_phi[1] 51:qlm_delta_phi[2] 52:qlm_delta_phi[3] 53:qlm_delta_phi[4] 54:qlm_delta_phi[5]
64	0	0 0 0	0 0 0	0.125	0 0 0	1.16810608499688 -1.16810608499688 -nan -1.54431898034097e-09 1.16810608499688 -nan -0.0038775351659002 0.00387753516590012 -nan -3.98327545841685e-09 -0.0038775351659002 -nan 1.24061573706498e-17 -1.0750617261366e-16 -nan 4.43203513038721e-09 1.24061573706498e-17 -nan -0.134639685153848 -0.134639685153848 -nan -0.134639685153848 -0.134639685153848 -nan -0.174532925199433 -0.174532925199433 -nan -0.174532925199433 -0.174532925199433 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0897597901025655 0.0897597901025655 -nan 0.0872664625997165 0.0872664625997165 -nan 0.0872664625997165 0.0872664625997165 -nan

# iteration 96   time 0.1875
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
