iteration,time_M,tau_M,area_recovered,area_QLM,relative_recovered_minus_QLM,area_AHFinderDirect,relative_AHFinderDirect_minus_QLM,QLM_history_iteration,QLM_valid,QLM_calc_error,origin
9536,18.625,0.0,37.30527648018054,37.3052742282947,6.036373904955443e-08,37.31129231,0.00016131986239997786,-1,True,0,reused_B3
9568,18.6875,0.0625,37.73099686696203,37.7309958783124,2.6202585128771547e-08,37.73636393,0.00014227166717040163,9568,True,0,reused_B3
9600,18.75,0.125,38.02280460536191,38.0228042613835,9.04663452458753e-09,38.02774442,0.00012992620382590303,9600,True,0,reused_B3
9632,18.8125,0.1875,38.2581930687998,38.2581930908352,-5.75965545656215e-10,38.26282083,0.0001209607352290476,9632,True,0,reused_B3
9664,18.875,0.25,38.45638125655612,38.4563814699938,-5.550123849823007e-09,38.46074077,0.00011335699926950937,9664,True,0,reused_B3
9696,18.9375,0.3125,38.6294628397313,38.629463428397,-1.5238774941520865e-08,38.63361219,0.0001073988928343983,9696,True,0,reused_B3
9728,19.0,0.375,38.78472379338007,38.7847242157865,-1.0891051525441117e-08,38.78868141,0.00010202971127215577,9728,True,0,new_B4
9760,19.0625,0.4375,38.92462138039829,38.9246218232697,-1.1377667653805911e-08,38.92838931,9.6789295664923e-05,9760,True,0,new_B4
9792,19.125,0.5,39.052042299727646,39.0520429095733,-1.5616229298239198e-08,39.05565372,9.246149900676848e-05,9792,True,0,new_B4
9824,19.1875,0.5625,39.16977107395634,39.169771324387,-6.393467484070743e-09,39.17325209,8.886356737125567e-05,9824,True,0,new_B4
9856,19.25,0.625,39.27896493371768,39.2789651752809,-6.149938520626036e-09,39.28231153,8.519457435207656e-05,9856,True,0,new_B4
9888,19.3125,0.6875,39.38023126077249,39.3802315226779,-6.6506824055081345e-09,39.38346037,8.199157793775669e-05,9888,True,0,new_B4
9920,19.375,0.75,39.47487191449406,39.4748720548412,-3.555353895429992e-09,39.47798332,7.881634561046624e-05,9920,True,0,new_B4
9952,19.4375,0.8125,39.56372132310734,39.5637213197026,8.605702231947416e-11,39.56673047,7.605832305523919e-05,9952,True,0,new_B4
9984,19.5,0.875,39.64709460440139,39.6470946327068,-7.139341523777545e-10,39.6500034,7.3366467836955e-05,9984,True,0,new_B4
10016,19.5625,0.9375,39.72554374026622,39.7255437123049,7.038624964504804e-10,39.7283659,7.104214143782706e-05,10016,True,0,new_B4
10048,19.625,1.0,39.799610763417526,39.7996105941525,4.2529317783039276e-09,39.80234936,6.881388552848478e-05,10048,True,0,new_B4
10080,19.6875,1.0625,39.86955567154391,39.8695554940417,4.452073926774512e-09,39.87219848,6.629083082443366e-05,10080,True,0,new_B4
10112,19.75,1.125,39.93566079771237,39.9356606562813,3.541473228462471e-09,39.93822593,6.423516417530806e-05,10112,True,0,new_B4
10144,19.8125,1.1875,39.99835160015411,39.9983514499006,3.756492460087097e-09,40.00083689,6.21385634482774e-05,10144,True,0,new_B4
10176,19.875,1.25,40.057756961824765,40.0577568242523,3.434352658507295e-09,40.06016979,6.0237166007226506e-05,10176,True,0,new_B4
10208,19.9375,1.3125,40.11403785339162,40.1140376491272,5.092093342199651e-09,40.11638829,5.859895963022943e-05,10208,True,0,new_B4
10240,20.0,1.375,40.167493870794054,40.1674937050167,4.127151974560259e-09,40.1697762,5.682443121934888e-05,10240,True,0,new_B4
10272,20.0625,1.4375,40.21827918174881,40.2182790171176,4.093442435162596e-09,40.22050352,5.531074269615743e-05,10272,True,0,new_B4
10304,20.125,1.5,40.26666811186137,40.2666681218371,-2.477415975259246e-10,40.26883501,5.3813445809236526e-05,10304,True,0,new_B4
10336,20.1875,1.5625,40.31256942753966,40.3125693956942,7.899635294907667e-10,40.3146802,5.236094690674875e-05,10336,True,0,new_B4
10368,20.25,1.625,40.35623828535884,40.3562382162259,1.7130671181942965e-09,40.35829291,5.091390736411405e-05,10368,True,0,reused_B3
10400,20.3125,1.6875,40.3978047701613,40.3978046948816,1.8634601871040948e-09,40.39980416,4.949440033952257e-05,10400,True,0,reused_B3
10432,20.375,1.75,40.43742898041448,40.4374289487047,7.841690802720135e-10,40.43937473,4.8118323688894904e-05,10432,True,0,reused_B3
10464,20.4375,1.8125,40.47517591752626,40.4751759395996,-5.453551103622869e-10,40.47707572,4.693692754376144e-05,10464,True,0,reused_B3
10496,20.5,1.875,40.51109449505919,40.5110944308813,1.5842052793409345e-09,40.51294802,4.5755098565969377e-05,10496,True,0,reused_B3
10528,20.5625,1.9375,40.5453289333203,40.5453288391001,2.323823744034302e-09,40.5471423,4.4726752792989544e-05,10528,True,0,reused_B3
10560,20.625,2.0,40.57797143690935,40.5779713749536,1.5268321808359675e-09,40.57974142,4.362083629172453e-05,10560,True,0,new_B4
10592,20.6875,2.0625,40.60907560086313,40.6090755832286,4.342508780240274e-10,40.61080558,4.260123498367463e-05,10592,True,0,new_B4
10624,20.75,2.125,40.638770495554105,40.6387705231517,-6.79095188867434e-10,40.64046063,4.1588532983194426e-05,10624,True,0,new_B4
10656,20.8125,2.1875,40.66705231234149,40.6670523234752,-2.737770911175376e-10,40.66870616,4.066772559885301e-05,10656,True,0,new_B4
10688,20.875,2.25,40.69397554213761,40.6939755253525,4.124715808078155e-10,40.6955953,3.980379470402973e-05,10688,True,0,new_B4
10720,20.9375,2.3125,40.71966342214523,40.7196634129765,2.2516713074029805e-10,40.72125042,3.897397204388753e-05,10720,True,0,new_B4
10752,21.0,2.375,40.74415547290627,40.7441554780844,-1.2708890058178927e-10,40.74570699,3.807937352973134e-05,10752,True,0,new_B4
10784,21.0625,2.4375,40.767532846074516,40.7675329028771,-1.3933289538297063e-09,40.76905096,3.723691415213892e-05,10784,True,0,new_B4
10816,21.125,2.5,40.789826030452545,40.7898261059371,-1.8505731570274751e-09,40.791311,3.640353991807288e-05,10816,True,0,new_B4
10848,21.1875,2.5625,40.81111269415681,40.8111127661064,-1.762990052663579e-09,40.81256877,3.567665262993458e-05,10848,True,0,new_B4
10880,21.25,2.625,40.831442370847626,40.8314424451868,-1.820635572502001e-09,40.83286706,3.4890141711541034e-05,10880,True,0,new_B4
10912,21.3125,2.6875,40.85083721947381,40.8508372763951,-1.3933934047445065e-09,40.85223364,3.4182006979577295e-05,10912,True,0,new_B4
10944,21.375,2.75,40.86936493543635,40.8693649245026,2.675293212501162e-10,40.87073468,3.351545833729652e-05,10944,True,0,new_B4
10976,21.4375,2.8125,40.887113444462486,40.887113428009,4.0241246028856553e-10,40.88845655,3.284951854976015e-05,10976,True,0,new_B4
11008,21.5,2.875,40.90410720919198,40.9041071744675,8.489240247653205e-10,40.90542329,3.2175632801223486e-05,11008,True,0,new_B4
11040,21.5625,2.9375,40.92037882812073,40.9203788008212,6.671378876975478e-10,40.92166871,3.1522415397944314e-05,11040,True,0,new_B4
11072,21.625,3.0,40.93600305161658,40.9360030101602,1.0127119989836547e-09,40.9372682,3.0906530847252256e-05,11072,True,0,new_B4
11104,21.6875,3.0625,40.95100042357295,40.9510004103493,3.229139171671386e-10,40.95224129,3.0301571103619196e-05,11104,True,0,new_B4
11136,21.75,3.125,40.96539217064514,40.9653921763623,-1.3956077438322332e-10,40.9666095,2.97159034254868e-05,11136,True,0,new_B4
11168,21.8125,3.1875,40.97922158884176,40.9792215784183,2.5435971158427694e-10,40.98041522,2.9127971096665206e-05,11168,True,0,new_B4
11200,21.875,3.25,40.992521729291724,40.9925217240284,1.283971753261447e-10,40.99369248,2.8560232997687507e-05,11200,True,0,new_B4
11232,21.9375,3.3125,41.00533822715204,41.0053382505911,-5.716100640307536e-10,41.00648542,2.79760991577227e-05,11232,True,0,new_B4
11264,22.0,3.375,41.01767578040752,41.0176758144406,-8.297173816352761e-10,41.01880032,2.741514571624748e-05,11264,True,0,new_B4
