iteration,t_M,L,index,singular_value
9536,18.625,2,0,0.42002190559482977
9536,18.625,2,1,0.3710524253033821
9536,18.625,2,2,0.30906521250878694
9536,18.625,2,3,0.29912007809435387
9536,18.625,2,4,0.2292436859920818
9536,18.625,2,5,0.22022680297158337
9536,18.625,2,6,0.2028209823315208
9536,18.625,2,7,0.19996695819448557
9536,18.625,2,8,0.18689346203230725
9536,18.625,4,0,0.4618423052817725
9536,18.625,4,1,0.4466853433426261
9536,18.625,4,2,0.4053038667032001
9536,18.625,4,3,0.397889391465086
9536,18.625,4,4,0.36704916703720153
9536,18.625,4,5,0.3579918349304528
9536,18.625,4,6,0.3230212986060641
9536,18.625,4,7,0.32042560473761156
9536,18.625,4,8,0.29804073577697426
9536,18.625,4,9,0.26683946872905673
9536,18.625,4,10,0.2641836804833777
9536,18.625,4,11,0.2435359599664836
9536,18.625,4,12,0.2403532295827305
9536,18.625,4,13,0.2397820915664101
9536,18.625,4,14,0.22197764510651452
9536,18.625,4,15,0.2125989624974356
9536,18.625,4,16,0.18925186309253028
9536,18.625,4,17,0.18821687824296124
9536,18.625,4,18,0.18158709583069554
9536,18.625,4,19,0.1811405583848417
9536,18.625,4,20,0.17924994981989983
9536,18.625,4,21,0.17450517592420275
9536,18.625,4,22,0.17229389498957956
9536,18.625,4,23,0.16981887795166864
9536,18.625,4,24,0.16467894565787364
9536,18.625,6,0,0.47704063987665934
9536,18.625,6,1,0.47105564360469176
9536,18.625,6,2,0.4460600824291638
9536,18.625,6,3,0.44164053782960677
9536,18.625,6,4,0.4299394832377129
9536,18.625,6,5,0.42417160499455303
9536,18.625,6,6,0.3970906625534356
9536,18.625,6,7,0.3950464344669749
9536,18.625,6,8,0.3776214925671924
9536,18.625,6,9,0.36604429708272085
9536,18.625,6,10,0.36366635397236363
9536,18.625,6,11,0.343119913628403
9536,18.625,6,12,0.3339473466690997
9536,18.625,6,13,0.3334719314309628
9536,18.625,6,14,0.3106881941760652
9536,18.625,6,15,0.29942120459275984
9536,18.625,6,16,0.29096257094553224
9536,18.625,6,17,0.29045996986354194
9536,18.625,6,18,0.26808404061111973
9536,18.625,6,19,0.2677464313122606
9536,18.625,6,20,0.26766309852909287
9536,18.625,6,21,0.2572368052989589
9536,18.625,6,22,0.2447927358592566
9536,18.625,6,23,0.2393501042171051
9536,18.625,6,24,0.22886558374360405
9536,18.625,6,25,0.22314119594667017
9536,18.625,6,26,0.22302173842292528
9536,18.625,6,27,0.211291661530957
9536,18.625,6,28,0.2112647056313104
9536,18.625,6,29,0.2069389090625955
9536,18.625,6,30,0.20187360440035415
9536,18.625,6,31,0.19673716227002788
9536,18.625,6,32,0.19399499318660712
9536,18.625,6,33,0.1938196688466486
9536,18.625,6,34,0.18813276333789986
9536,18.625,6,35,0.18216857029693428
9536,18.625,6,36,0.1768517517551219
9536,18.625,6,37,0.17662647157158912
9536,18.625,6,38,0.1737161284122139
9536,18.625,6,39,0.17358828034143928
9536,18.625,6,40,0.1714666595162133
9536,18.625,6,41,0.16943497340062944
9536,18.625,6,42,0.16810437329475333
9536,18.625,6,43,0.16689868663516408
9536,18.625,6,44,0.16409971516528335
9536,18.625,6,45,0.16368020652602477
9536,18.625,6,46,0.1604546216741395
9536,18.625,6,47,0.16027954657795668
9536,18.625,6,48,0.1575145481652589
9536,18.625,8,0,0.48408835456912575
9536,18.625,8,1,0.4811473282032058
9536,18.625,8,2,0.4647119148850408
9536,18.625,8,3,0.46203419399755186
9536,18.625,8,4,0.4569928229660688
9536,18.625,8,5,0.4535835869407884
9536,18.625,8,6,0.43473060112649564
9536,18.625,8,7,0.43338807547772484
9536,18.625,8,8,0.4217514515730461
9536,18.625,8,9,0.41907126855844845
9536,18.625,8,10,0.4173920372914222
9536,18.625,8,11,0.4030972964404163
9536,18.625,8,12,0.3936048957080573
9536,18.625,8,13,0.39321083299325094
9536,18.625,8,14,0.375222900408405
9536,18.625,8,15,0.36784408947391545
9536,18.625,8,16,0.3674028755488059
9536,18.625,8,17,0.36544927613838857
9536,18.625,8,18,0.3465898865626738
9536,18.625,8,19,0.342959028214323
9536,18.625,8,20,0.34288558850596124
9536,18.625,8,21,0.3357973646533848
9536,18.625,8,22,0.31759791897171813
9536,18.625,8,23,0.3119299966924653
9536,18.625,8,24,0.3085371513809874
9536,18.625,8,25,0.30846138953373003
9536,18.625,8,26,0.29949437031518955
9536,18.625,8,27,0.2881864106658736
9536,18.625,8,28,0.2881760025416837
9536,18.625,8,29,0.2828262947328708
9536,18.625,8,30,0.27713950673227133
9536,18.625,8,31,0.26515875524916055
9536,18.625,8,32,0.26110268189075725
9536,18.625,8,33,0.25873068567499524
9536,18.625,8,34,0.25040579280477193
9536,18.625,8,35,0.25039269212992293
9536,18.625,8,36,0.2492046476724656
9536,18.625,8,37,0.24009284126226965
9536,18.625,8,38,0.2371471169828496
9536,18.625,8,39,0.23714466499004072
9536,18.625,8,40,0.22791575302055092
9536,18.625,8,41,0.22545903818651042
9536,18.625,8,42,0.21756183554698494
9536,18.625,8,43,0.21587837363262205
9536,18.625,8,44,0.21487601387024446
9536,18.625,8,45,0.2098039916784472
9536,18.625,8,46,0.20835894162856822
9536,18.625,8,47,0.20284668954449084
9536,18.625,8,48,0.2027651601924237
9536,18.625,8,49,0.2027584624154984
9536,18.625,8,50,0.19665278354428092
9536,18.625,8,51,0.1964149222198371
9536,18.625,8,52,0.19641309607153534
9536,18.625,8,53,0.1896970518905852
9536,18.625,8,54,0.18819206535283997
9536,18.625,8,55,0.1846889884642417
9536,18.625,8,56,0.1838467247058368
9536,18.625,8,57,0.183687875874785
9536,18.625,8,58,0.1802066713287788
9536,18.625,8,59,0.17916118830535574
9536,18.625,8,60,0.1767117675428108
9536,18.625,8,61,0.17451756544922586
9536,18.625,8,62,0.17294400833728135
9536,18.625,8,63,0.17152785901129813
9536,18.625,8,64,0.17144828405753743
9536,18.625,8,65,0.1699369553318011
9536,18.625,8,66,0.16988395181902022
9536,18.625,8,67,0.1692470334502416
9536,18.625,8,68,0.16802257063511594
9536,18.625,8,69,0.16700614674947353
9536,18.625,8,70,0.16603335239668396
9536,18.625,8,71,0.1653995642213996
9536,18.625,8,72,0.1633842715263762
9536,18.625,8,73,0.16317733809478366
9536,18.625,8,74,0.16078660094442224
9536,18.625,8,75,0.16062224944515954
9536,18.625,8,76,0.15842985615203217
9536,18.625,8,77,0.15799459422248432
9536,18.625,8,78,0.15625817647957038
9536,18.625,8,79,0.15566572039599005
9536,18.625,8,80,0.15436917487597138
9568,18.6875,2,0,0.4138943623040056
9568,18.6875,2,1,0.3669754283707043
9568,18.6875,2,2,0.3079850263171766
9568,18.6875,2,3,0.298302975238276
9568,18.6875,2,4,0.2325492757806237
9568,18.6875,2,5,0.22356717993455213
9568,18.6875,2,6,0.20798862678771232
9568,18.6875,2,7,0.2049699686569497
9568,18.6875,2,8,0.19247048535497135
9568,18.6875,4,0,0.45471592175493
9568,18.6875,4,1,0.4397691704522616
9568,18.6875,4,2,0.39918914909248504
9568,18.6875,4,3,0.3919782306762173
9568,18.6875,4,4,0.36276699986331185
9568,18.6875,4,5,0.3540019773656492
9568,18.6875,4,6,0.32109348215846134
9568,18.6875,4,7,0.31852670044644715
9568,18.6875,4,8,0.297556711127321
9568,18.6875,4,9,0.26836331314008266
9568,18.6875,4,10,0.26566534152568827
9568,18.6875,4,11,0.24630414281641352
9568,18.6875,4,12,0.24360192564614502
9568,18.6875,4,13,0.24298052450055882
9568,18.6875,4,14,0.2264830507877022
9568,18.6875,4,15,0.21724097863511846
